"","ID","serial_num","time","latitude","longitude","pm_raw","mq131","mq135","altitude","horizontal_speed","temp","humidity"
"1",1,"00000000776a46ca",1534267970,51.37992,-2.393088333,3.12846078499,2.47785568237,1.142578125,31.9,12.523,21.8,91.5
"2",2,"00000000776a46ca",1534267980,51.380566667,-2.394316667,13.8337139286,2.4523806572,1.11938476562,-72.5,11.225,21.8,91.2
"3",3,"00000000776a46ca",1534267990,51.380841667,-2.394695,76.6187382298,2.42683887482,1.09985351562,-116.6,7.814,21.9,91.2
"4",4,"00000000776a46ca",1534268000,51.381201667,-2.395348333,18.566632192,2.41344928741,1.08032226562,-170.2,1.894,21.9,87.4
"5",5,"00000000776a46ca",1534268010,51.381616667,-2.39584,90.6049580107,2.40857124329,1.06201171875,-212.7,4.564,21.9,87.6
"6",6,"00000000776a46ca",1534268020,51.381871667,-2.396068333,36.6563808134,2.40203619003,1.0546875,-251,-1.314,21.9,88.8
"7",7,"00000000776a46ca",1534268030,51.381891667,-2.395923333,35.6094819896,2.39294528961,1.044921875,-247.3,5.098,22,88.3
"8",8,"00000000776a46ca",1534268040,51.381941667,-2.395683333,39.2719114243,2.38907814026,1.03393554688,-235.1,1.785,21.9,87
"9",9,"00000000776a46ca",1534268050,51.381793333,-2.395155,149.04605141,2.39648580551,1.05346679688,-218,3.446,22,86.8
"10",10,"00000000776a46ca",1534268060,51.38153,-2.394673333,63.7728450882,2.41795539856,1.04125976562,-211.5,2.432,22,89.1
"11",11,"00000000776a46ca",1534268070,51.380518333,-2.392746667,22.6301092438,2.40178585052,1.0205078125,-73.3,16.751,22,88
"12",12,"00000000776a46ca",1534268080,51.380335,-2.392356667,23.0933115573,2.39777088165,1.01440429688,-43.4,0.833,22.1,86.7
"13",13,"00000000776a46ca",1534268090,51.380491667,-2.392481667,264.417840087,2.38514184952,1.00341796875,-48.9,1.615,22.1,87.4
"14",14,"00000000776a46ca",1534268100,51.381013333,-2.392886667,11.3369010908,2.37410068512,0.987548828125,-66.4,7.048,22.1,87.4
"15",15,"00000000776a46ca",1534268110,51.381951667,-2.393705,26.9573197411,2.38211631775,1.03759765625,-100.1,11.616,22.2,84.6
"16",16,"00000000776a46ca",1534268120,51.382383333,-2.394556667,11.6351474797,2.40171670914,1.04125976562,-145.2,2.644,22.3,89.2
"17",17,"00000000776a46ca",1534268130,51.38217,-2.394716667,37.8302890176,2.52987623215,1.02783203125,-163.1,3.452,22.5,90.9
"18",18,"00000000776a46ca",1534268140,51.382265,-2.394816667,63.579636627,0,1.01928710938,-166.2,5.139,22.7,85.7
"19",19,"00000000776a46ca",1534268150,51.38231,-2.395066667,10.7334312545,2.52193450928,1.01440429688,-164.4,3.966,23,81.9
"20",20,"00000000776a46ca",1534268160,51.38187,-2.394925,105.01045606,2.49036550522,0.938720703125,-161.8,1.595,23,81.6
"21",21,"00000000776a46ca",1534268170,51.382396667,-2.395923333,11.2219865129,2.49036550522,0.921630859375,-164.4,5.767,22.9,78.4
"22",22,"00000000776a46ca",1534268230,51.38373,-2.398943333,50.6414417421,0,0.946044921875,-177.4,15.719,23.3,76.2
