"","ID","serial_num","time","latitude","longitude","pm_raw","mq131","mq135","altitude","horizontal_speed","temp","humidity"
"1",1,"00000000d6f385bf",1533296240,51.381858333,-2.358843333,117.758353967,2.33550310135,1.04370117188,48.9,0.005,29.8999996185,44.7000007629
"2",2,"00000000d6f385bf",1533296250,51.38186,-2.35881,107.397562306,2.34205245972,1.0302734375,49.1,0.545,30,45.0999984741
"3",3,"00000000d6f385bf",1533296260,51.381865,-2.358861667,122.360729898,2.35178947449,1.04858398438,47,0.293,30.1000003815,44.9000015259
"4",4,"00000000d6f385bf",1533296270,51.38187,-2.35885,104.854107412,2.37068891525,1.0986328125,45.5,0.185,30.2000007629,44.9000015259
"5",5,"00000000d6f385bf",1533296280,51.381838333,-2.358858333,79.7584999154,2.37631082535,1.11206054688,40.8,0.568,30.2999992371,44.5
"6",6,"00000000d6f385bf",1533296290,51.381865,-2.358996667,79.7584999154,2.38322257996,1.05834960938,39.7,2.265,30.2999992371,44.5
"7",7,"00000000d6f385bf",1533296300,51.382168333,-2.35912,101.356031147,2.3685503006,0.99853515625,45.3,4.474,30.2000007629,44
"8",8,"00000000d6f385bf",1533296310,51.382481667,-2.359191667,78.8972194666,2.34964609146,1.05712890625,45.9,2.783,29.7000007629,45.5999984741
"9",9,"00000000d6f385bf",1533296320,51.382673333,-2.358828333,114.749337505,2.3481798172,1.05834960938,43.9,5.309,29.6000003815,46.5
"10",10,"00000000d6f385bf",1533296330,51.382736667,-2.358168333,114.749337505,2.34449625015,1.08032226562,43.6,4.995,29.6000003815,46.5
"11",11,"00000000d6f385bf",1533296340,51.38238,-2.357595,111.406530079,2.34040737152,1.044921875,40.6,6.025,29.2000007629,47.7000007629
"12",12,"00000000d6f385bf",1533296350,51.381903333,-2.357521667,106.468252661,2.32640981674,1.12060546875,37.6,6.013,29.1000003815,22.7999992371
"13",13,"00000000d6f385bf",1533296360,51.381531667,-2.357991667,148.536902857,2.3299741745,1.09741210938,39.7,7.038,29.1000003815,48.7999992371
"14",14,"00000000d6f385bf",1533296370,51.381773333,-2.35872,148.536902857,2.32539892197,1.10473632812,40.1,4.383,29.1000003815,48.7999992371
"15",15,"00000000d6f385bf",1533296380,51.381686667,-2.359261667,84.088884664,2.32871770859,1.13403320312,43.7,5.075,29,48.5
"16",16,"00000000d6f385bf",1533296390,51.3815,-2.359855,85.218506407,2.33899831772,1.1328125,41.4,4.27,28.8999996185,48
"17",17,"00000000d6f385bf",1533296400,51.381455,-2.360278333,105.059446164,2.3362994194,1.15600585938,40.1,1.039,28.7999992371,48.4000015259
"18",18,"00000000d6f385bf",1533296410,51.381443333,-2.360685,86.0722485055,2.35183954239,1.16577148438,40.7,2.768,28.8999996185,48.4000015259
"19",19,"00000000d6f385bf",1533296420,51.381428333,-2.360941667,34.687889388,2.37084150314,1.18041992188,43.1,0.612,28.7999992371,48.7000007629
"20",20,"00000000d6f385bf",1533296430,51.381428333,-2.361171667,34.687889388,2.36758947372,1.17553710938,46,1.635,28.7999992371,48.7000007629
"21",21,"00000000d6f385bf",1533296440,51.381396667,-2.361463333,34.687889388,2.36982822418,1.1962890625,47.4,2.825,28.7999992371,48.7000007629
"22",22,"00000000d6f385bf",1533296450,51.381373333,-2.361791667,109.100648292,2.37040042877,1.17065429688,48.2,2.574,28.7999992371,48.9000015259
"23",23,"00000000d6f385bf",1533296460,51.38136,-2.362008333,110.564735978,2.37958431244,1.18530273438,46.8,1.518,28.7999992371,48.5999984741
"24",24,"00000000d6f385bf",1533296470,51.38132,-2.36244,106.831949457,2.37355947495,1.1474609375,41.5,1.919,28.7999992371,48.7999992371
"25",25,"00000000d6f385bf",1533296480,51.381555,-2.362576667,87.8067579603,2.36538410187,1.13647460938,44,3.344,28.7999992371,48.9000015259
"26",26,"00000000d6f385bf",1533296490,51.381786667,-2.362483333,62.452058811,2.36105680466,1.16088867188,48,1.77,28.7999992371,48.9000015259
"27",27,"00000000d6f385bf",1533296500,51.381995,-2.362448333,78.1191420489,2.36190319061,1.18041992188,51.9,3.023,28.7999992371,48.5999984741
"28",28,"00000000d6f385bf",1533296510,51.38221,-2.362183333,65.6122377294,2.44391918182,1.15478515625,48.5,3.362,28.7999992371,48.5999984741
"29",29,"00000000d6f385bf",1533296520,51.382201667,-2.36184,105.014200045,2.42388725281,1.15356445312,49.5,3.406,28.7000007629,48.7999992371
"30",30,"00000000d6f385bf",1533296530,51.381856667,-2.361671667,105.014200045,2.40778207779,1.14013671875,47.3,4.706,28.7000007629,48.7999992371
"31",31,"00000000d6f385bf",1533296540,51.381508333,-2.361673333,33.45662547,2.44494915009,1.19750976562,48.3,4.29,28.5,49.5
"32",32,"00000000d6f385bf",1533296550,51.381503333,-2.36143,33.45662547,2.4373459816,1.201171875,46.4,1.358,28.5,49.5
"33",33,"00000000d6f385bf",1533296560,51.381581667,-2.361031667,120.451434129,2.45275735855,1.20971679688,45.2,2.536,28.5,49.4000015259
